Date,Open,High,Low,Close,Volume,tick
45363.66667,60.02,61.53,59.63,61.11,2821631,NFLX
45364.66667,61.34,61.48,60.72,60.95,2192094,NFLX
45365.66667,61.5,62.08,60.74,61.3,3120452,NFLX
45366.66667,62.29,62.29,60.38,60.59,6671629,NFLX
45369.66667,61.36,62.74,61.04,61.84,3344244,NFLX
45370.66667,61.56,62.13,60.8,62.07,2142613,NFLX
45371.66667,62,62.95,61.83,62.77,2639509,NFLX
45372.66667,63.07,63.44,62.23,62.27,2507671,NFLX
45373.66667,62.42,62.91,62.1,62.8,2135688,NFLX
45376.66667,62.79,63.05,62.32,62.75,1803264,NFLX
45377.66667,62.52,63.44,61.92,62.92,2804453,NFLX
45378.66667,62.9,63.14,61.07,61.35,2628267,NFLX
45379.66667,61.5,61.5,60.16,60.73,3708803,NFLX
45383.66667,60.8,61.51,60.56,61.43,2115925,NFLX
45384.66667,61.1,61.5,60.55,61.42,2029217,NFLX
45385.66667,61.27,63.04,61.15,63.01,2931231,NFLX
45386.66667,63.32,63.8,61.66,61.71,3064349,NFLX
45387.66667,62.49,63.79,62.27,63.62,3378842,NFLX
45390.66667,63.64,63.9,62.81,62.84,2145731,NFLX
45391.66667,63.2,63.2,61.56,61.82,2146635,NFLX
45392.66667,61.1,62.01,60.93,61.86,2806248,NFLX
45393.66667,62.44,63.17,61.72,62.88,2662662,NFLX
45394.66667,62.82,63.31,61.89,62.28,2959269,NFLX
45397.66667,63.02,63.02,60.39,60.72,3085394,NFLX
45398.66667,60.75,62.25,60.75,61.75,3519122,NFLX
45399.66667,62.1,62.1,60.77,61.37,3312222,NFLX
45400.66667,61.21,62.13,60.54,61.06,8468407,NFLX
45401.66667,56.79,57.9,55.22,55.5,16449699,NFLX
45404.66667,55.07,55.86,54.2,55.46,8597651,NFLX
45405.66667,55.65,57.92,55.53,57.78,4975520,NFLX
45406.66667,57.43,57.69,55.13,55.51,5355312,NFLX
45407.66667,54.95,56.65,54.57,56.48,3807101,NFLX
45408.66667,55.82,56.29,55.32,56.12,4332593,NFLX
45411.66667,55.92,55.96,55.42,55.95,2508882,NFLX
45412.66667,56,56,54.94,55.06,3361492,NFLX
45413.66667,54.78,56.04,54.43,55.17,3473233,NFLX
45414.66667,55.6,56.55,55.56,56.52,3068228,NFLX
45415.66667,56.6,58.03,56.52,57.93,3307524,NFLX
45418.66667,58.18,59.73,58.03,59.7,3686337,NFLX
45419.66667,59.63,60.61,59.13,60.6,3614092,NFLX
45420.66667,60.16,61.82,60.16,60.95,3093904,NFLX
45421.66667,61.44,61.57,60.58,61.21,2065375,NFLX
45422.66667,61.9,62.4,60.51,61.09,2653586,NFLX
45425.66667,61.43,61.82,60.68,61.66,2086197,NFLX
45426.66667,61.52,62.15,60.84,61.37,2792358,NFLX
45427.66667,61.86,62.41,60.91,61.35,5670607,NFLX
45428.66667,61.58,61.83,60.91,61.05,3056350,NFLX
45429.66667,61.7,62.58,61.47,62.11,3782708,NFLX
45432.66667,62.04,64.44,61.95,64.08,3857853,NFLX
45433.66667,63.68,65.09,63.42,65.06,2920155,NFLX
45434.66667,64.71,64.93,63.81,64.05,2176174,NFLX
45435.66667,64.23,64.27,63,63.57,2313939,NFLX
45436.66667,63.94,65.2,63.76,64.68,2615260,NFLX
45440.66667,64.71,64.97,64.3,64.9,2609451,NFLX
45441.66667,64.41,66.43,64.39,65.46,3695935,NFLX
45442.66667,65.35,65.65,64.47,64.77,2393354,NFLX
45443.66667,64.4,64.86,62.83,64.16,4071023,NFLX
45446.66667,64.52,64.68,62.73,63.38,2323506,NFLX
45447.66667,63.38,63.52,62.64,63.16,3008151,NFLX
45448.66667,63.4,65.13,62.83,65.03,2682614,NFLX
45449.66667,64.49,65.8,64.42,64.85,2466664,NFLX
45450.66667,64.94,65.04,64.02,64.15,1876631,NFLX
45453.66667,64.1,64.48,63.56,64.45,2066759,NFLX
45454.66667,64.07,65.02,64.05,64.86,2167417,NFLX
45455.66667,65.22,65.58,64.31,65.01,2094381,NFLX
45456.66667,64.4,65.53,64.24,65.33,1863587,NFLX
45457.66667,65.51,67.56,65.26,66.94,4447116,NFLX
45460.66667,66.91,68.27,66.51,67.58,3631184,NFLX
45461.66667,67.56,68.71,67.46,68.57,2943775,NFLX
45463.66667,68.18,68.99,67.37,67.9,2585089,NFLX
45464.66667,68.33,68.69,67.81,68.61,4557086,NFLX
45467.66667,68.5,68.55,66.45,66.9,3916335,NFLX
